trade_id;internal_ts;direction;pair;strategy;spread_pct;ex1;ex1_order_id;ex1_type;ex1_side;ex1_qty_ordered;ex1_qty_filled;ex1_price_expected;ex1_price_actual;ex1_value_usdt;ex1_fees;ex1_create_ts;ex1_status;ex2;ex2_order_id;ex2_type;ex2_side;ex2_qty_ordered;ex2_qty_filled;ex2_price_expected;ex2_price_actual;ex2_value_usdt;ex2_fees;ex2_create_ts;ex2_status;profit_usdt_expected;profit_mpc_expected;profit_usdt_actual;profit_mpc_actual;limit_watch_status;limit_last_check;error_code;error_message;raw_ex1_response;raw_ex2_response;raw_ex2_response_ts
1b16122f50_ex2p2;2026-05-27T22:18:45.637533;;;;;;;;;;;;;;;;;;6a1751c530aa00000711dc0d;limit;sell;;31,0;;0,018941;0,587171;0,001761513;2026-05-28T12:29:16.001;FILLED;;;;;FILLED;;;;;;
1b16122f50;2026-05-27T22:18:45.637533;MXC->KCN;MPC-USDT;USDT;1,408608161;MXC;C02__688414850790903809119;market;buy;112;30,95;0,01789;0,01799;0,5567905;0;27.05.2026 22:18;PARTIAL;;;;;;;;;;;;;;;0,028618987000000033;-0,05000000000000071;;;;;"{""status"": ""Filled"", ""orderId"": ""C02__688414850790903809119"", ""quantity"": ""30.95"", ""amount"": ""0.5567905"", ""fees"": 0.0, ""price"": ""0.01799"", ""executedQty"": ""30.95"", ""cummulativeQuoteQty"": ""0.5567905"", ""fills_count"": 1, ""ex1_partial_fills"": [{""qty_filled"": 30.95, ""price_actual"": 0.01799, ""value_usdt"": 0.5567905, ""fees"": 0.0, ""create_ts"": 1779913126000}]}";;
1b16181516_ex1p1;;;;;;;;;;;36,52;;0,01798;0,6566296;0;2026-05-27 22:24:20.000;FILLED;;;;;;;;;;;;;;;;;;;;;;;
1b16181516_ex2sum;;;;;;;;;;;;;;;;;;KCN;6a17578642a70a00075963c5;limit;sell;37;37,0;0,018117;0,019;0,703;0,002109;;FILLED;0,018581348;-0,48;;;FILLED;2026-05-27T22:24:21.227202;;;;"{""orderId"": ""6a1752f5a7f17f000770d374""}";2026-05-27T22:24:21.225528
1b16181516_ex2p1;;;;;;;;;;;;;;;;;;KCN;6a1752f5a7f17f000770d374;limit;sell;;0;;0;0;0;0;CANCELLED;;;;;CANCELLED;2026-05-27T22:24:21.231084;;;;;
1b16181516_ex2p2;2026-05-27T22:24:19.015602;;;;;;;;;;;;;;;;;;6a17578642a70a00075963c5;limit;sell;;37,0;;0,019;0,703;0,002109;2026-05-28T12:29:16.001;FILLED;;;;;FILLED;;;;;;
1b16181516;2026-05-27T22:24:19.015602;MXC->KCN;MPC-USDT;USDT;1,495798319;MXC;C02__688416249486381056119;market;buy;112;36,52;0,01785;0,01798;0,6566296;0;27.05.2026 22:24;PARTIAL;;;;;;;;;;;;;;;0,04426139999999992;-0,4799999999999969;;;;;"{""status"": ""Filled"", ""orderId"": ""C02__688416249486381056119"", ""quantity"": ""36.52"", ""amount"": ""0.6566296"", ""fees"": 0.0, ""price"": ""0.01798"", ""executedQty"": ""36.52"", ""cummulativeQuoteQty"": ""0.6566296"", ""fills_count"": 1, ""ex1_partial_fills"": [{""qty_filled"": 36.52, ""price_actual"": 0.01798, ""value_usdt"": 0.6566296, ""fees"": 0.0, ""create_ts"": 1779913460000}]}";;
1b161c1a45_ex1p1;;;;;;;;;;;250;;0,01781;4,4525;0;2026-05-27 22:28:25.000;FILLED;;;;;;;;;;;;;;;;;;;;;;;
1b161c1a45_ex2sum;;;;;;;;;;;;;;;;;;KCN;6a1753ea8d7f740007fc976b;limit;sell;250;250.0;0,018046;0.018046;0;0.0135345;;PARTIAL;0,059;0;;0;FILLED;2026-05-27T22:28:34.668115;;;;"{""orderId"": ""6a1753ea8d7f740007fc976b""}";2026-05-27T22:28:26.694664
1b161c1a45_ex2p1;;;;;;;;;;;;;;;;;;KCN;6a1753ea8d7f740007fc976b;limit;sell;;250.0;;0.018046;0;0.0135345;0;FILLED;;;;;FILLED;2026-05-27T22:28:34.663117;;;;;
